id,product_name,product_price,Rate,Review,Summary,Sentiment
9yKzy9PApeiPPOUJEtnvkg,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,super!,great cooler excellent air flow and for this price its so amazing and unbelievablejust love it,positive
ZRJwVLyzEJq1VAihDhYiow,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,awesome,best budget 2 fit cooler nice cooling,positive
6oRAC4uyJCsJl1X0WZpVSA,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,fair,the quality is good but the power of air is decent,positive
_1QQZuf4zZOyFCvXc0o6Vg,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,1,useless product,very bad product its a only a fan,negative
6ozycU1RpktNG2-1BroVtw,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,fair,ok ok product,neutral
#NAME?,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,awesome,the cooler is really fantastic and provides good air flow highly recommended,positive
zp713qNhx8d9KCJJnrw1xA,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,highly recommended,very good product,positive
hW0Ne_HTHEAgGF1rAdmR-g,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,nice,very nice,positive
wNUea3IXZWD63bbOQaOH-g,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,1,unsatisfactory,very bad cooler,negative
nMHhuYan8e3cONo3PornJA,"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,4,worth the money,very good,positive
AsSCv0q_BWqIe3mX2JqsOQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,great product,beautiful product good material and perfectly working,positive
e9nN4XxjdHj4qtKCOPq_vg,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,mind-blowing purchase,awesome,positive
h53YuCiIDfEFSJCQpk8v1g,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,highly recommended,good,positive
WGNIYMeXPyoWav1APUq7jA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,brilliant,wonderful product must buy,positive
yc5AH9H71xJidA_J2mChLA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,classy product,nice air cooler smart cool breeze producer,positive
Vb9FPCEL6Ly24PNxLBaAFw,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,must buy!,awsm,positive
supigcPNO9IKo6olaTNV-g,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,fabulous!,nice product,positive
O510Re68mOy9dU490JTKCg,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,great cooler,positive
b5cEoKR8iQliq-yT2_O0LQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,super!,nice product,positive
4JzzbSbK9wmlOBJZWYfuCg,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,great product,good,positive
8FNO4D3eozpIjj0k3q5Zbg,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,awesome,very nice product,positive
tdcjXyFLMKAsvRhURNOkCg,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,good product,positive
eFA9dqXT5EA_TrMgbo03QQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,just wow!,nice product with the reasonable price,positive
IJ0o6b8bJFAbG6MjGfBebQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,awesome,i like it,positive
JhupPnWfNlMJivnWB5druA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific purchase,very goodd,positive
wzP2yNpV5p04nh0injjymA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,excellent,good product,positive
qjmCVYkwP-HDa35jwYucbQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,good product kawaleti,positive
wct7rZKyZqZftzmAU-vhWQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific,very good cooler amazing beautiful designs affordable price,positive
vz2zQQSjy-NnnKLZzjjoxA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,awesome,using since 3months great experience,positive
i213sY5rhkfCO8cD-FPr1A,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,simply awesome,very good performance and nice look,positive
V1nEpIRmEa1768oj_tuxeQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,4,wonderful,product is good having strong thrust of air flow must buy,positive
vvA3fbps4F9nGlAEYKk_sA,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific,very good,positive
rxQ2PIjhAx6dgAqUalf99Q,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,2,expected a better product,bad quality,negative
qjmCVYkwP-HDa35jwYucbQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,excellent,very nice product,positive
3oLy0rlzRI_xiqfQHqC4_g,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific purchase,very soundless product and low price other company,positive
o1GIYYZJjM6nM03fQs_uEQ,"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,wonderful,nice,positive
Pr9rQKypHgC_J1AfufxzIw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,positive
AGar9KVq_W7YcF76avbDTw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,positive
#NAME?,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,awesome,it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,positive
qyNtVViurIcChc35mfYIEw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,excellent,awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features1 great air through the capacity of 5000 m3hr 2 comes with a large 65litre tank which can run overnight with ease3 great built that is a shockproof and reliable material4 you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s,positive
umdxfhSlk67yGEi8-S-bEg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,great product,purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no 2nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run,positive
qsThMZ3lXWYLN4t08ScsNA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,highly recommended,very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong,positive
puy0PzIcCgR3KWJI7llBFQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,awesome,feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,positive
e0vubCKi8KD8zC2C6FdbuQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,decent product,great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
faSdsW2s_SaVN0KTy-R2MQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,fabulous!,i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,positive
qB-qsaSnhbHCt18_AN4Quw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,very satisfactory,the good things1 very well packed good amount of thermocols to protect from transport damages2 sturdy body3 relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something 1 easy opening of side frames to change pads or clean the water inlets2 water balloon used to cut water supply au,positive
aRkYtXfmEKYG-eTDf_qUsw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,excellent producthappy with resultnice air flowosm cooling,positive
JuBygU4XDjqSeW9okyvbsQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,mind-blowing purchase,cooler works fine and it is inverter friendly,positive
jRfdz5voj40P6WS9L54caw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,waste of money!,small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,negative
7SO_rX1F6rQEl-5s3wZxgQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,must buy!,perfect product for large size room,positive
EC9WB-iVjd28B6R6KIZ8TA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good not best,average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,positive
zp713qNhx8d9KCJJnrw1xA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,must buy!,product was amazing cooling capacity awsum pls go for ahead a big thumbs up,positive
pWPzxPPXN4IqI7RUU_8KKw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,does the job,good,positive
LDJhwZN14AZOJyHjg2lkRw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,nice,received dalay 10 days cooler is ok when i was reveived switch damaged,negative
K8pM6qQdYu5h6buRE1-_sw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,worth the money,big oneworking good 2days of use hope will work for long run,positive
FCcFT610nQBVcRdY-devQA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,pretty good,good product nice air flow and no noice,positive
tA2DT7CGQPzgA6tTcTkXDw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,good cooler,in this price good cooler,positive
o5x6DF0KK1OBsiUOx2gavg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,is good for many,positive
AaKlegu7gmOCD4rEESF76Q,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,it is an awesome product light weight easy to use and having lot of features,positive
E6DnUFy3GoN4DxTqturtug,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,worthless,the product doesnt cool as rated by other customers the cooling is very slow very wrost product i recommend to not buy this item wastage of money,positive
znBnrQNq1FdUt5aIGAbyuQ,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,great product,looks like monster cooler it is working as awesome,positive
l4vBbCL9QbGiwLuLKwD_bA,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,great product,very nice product thank you flipkart,positive
YeDYa6tYL16CyqYvUVOtLw,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,must buy!,very good,positive
P5uC-zfGG6yqoQDUyqyAvg,"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,good cooler it occupies more space looks very large but good for hall it covers all the places,positive
